     par(1)       par(2)       par(3)       par(4)     ratio_max
   4.60E+001    2.20E+001    1.41E+001    7.85E+001    1.11E+000
   4.02E+000    3.34E+001    1.82E+002    5.34E+002    4.03E+000
   1.47E+000    3.51E+000    4.93E+002    6.68E+000    1.52E+000
   8.85E+001    4.59E+001    1.27E+000    9.40E+002    4.59E+000
   3.66E+001    3.41E+001    1.52E+000    1.42E+001    1.80E+000
   1.26E+001    7.86E+001    6.37E+002    5.18E+002    1.40E+000
   4.10E+000    9.40E+001    6.78E+000    7.74E+001    1.86E+000
   4.94E+001    2.93E+000    1.87E+000    3.26E+001    1.03E+000
   8.88E+000    4.10E+000    5.38E+002    2.04E+002    1.29E+000
   4.67E+001    1.06E+001    4.70E+002    1.76E+002    1.52E+000
   3.09E+000    1.24E+000    3.36E+002    4.61E+001    2.68E+000
   7.02E+001    1.28E+000    1.02E+000    1.16E+002    2.48E+000
   7.05E+001    2.63E+001    3.49E+000    7.35E+002    2.59E+000
   3.15E+001    3.19E+000    3.02E+000    4.07E+000    2.99E+000
   2.00E+000    3.13E+000    4.58E+002    1.89E+000    1.70E+000
   2.88E+000    6.57E+001    3.13E+001    6.33E+001    3.65E+000
   2.22E+000    7.30E+001    1.85E+002    7.33E+001    2.11E+000
   2.86E+001    5.91E+001    1.25E+001    9.01E+001    2.09E+000
   4.13E+001    6.01E+000    2.67E+002    2.69E+001    1.08E+000
   4.43E+001    2.88E+001    1.87E+000    5.74E+000    1.20E+000
   5.43E+000    8.14E+001    3.97E+000    3.50E+001    2.48E+000
   3.07E+000    4.10E+001    4.55E+002    7.79E+001    1.45E+000
   1.73E+000    1.84E+001    2.09E+002    2.98E+002    4.56E+000
   3.44E+001    7.96E+000    8.86E+000    2.09E+001    2.37E+000
   1.65E+000    2.85E+001    9.29E+002    2.93E+001    1.75E+000
   1.79E+001    9.96E+001    4.37E+000    7.19E+002    1.39E+000
   4.28E+001    6.02E+000    4.05E+002    3.23E+002    1.23E+000
   3.72E+001    4.54E+001    5.40E+000    1.63E+000    1.59E+000
   1.41E+000    1.59E+001    6.96E+002    2.14E+002    1.13E+000
   2.38E+001    4.54E+001    2.57E+000    3.82E+000    3.46E+000
   5.40E+001    9.46E+001    1.19E+002    9.04E+000    1.90E+000
   1.54E+000    2.26E+000    2.24E+002    1.48E+000    4.97E+000
   2.87E+001    4.35E+000    2.69E+000    3.79E+001    3.74E+000
   4.00E+001    5.50E+000    8.02E+001    1.72E+000    1.53E+000
   5.68E+001    1.50E+001    2.02E+000    7.74E+001    1.47E+000
   4.75E+001    4.18E+000    1.02E+002    9.64E+001    1.00E+000
   3.60E+001    4.55E+001    1.61E+001    1.46E+001    1.68E+000
   6.36E+001    5.25E+001    8.91E+002    3.40E+002    3.71E+000
   2.19E+001    9.40E+001    1.80E+002    6.56E+001    1.23E+000
   1.86E+000    2.00E+000    6.83E+002    4.68E+001    1.07E+000
   1.06E+001    2.60E+001    2.83E+002    6.31E+000    2.87E+000
   4.23E+001    1.48E+001    1.22E+002    4.29E+001    1.27E+000
   6.33E+001    7.47E+000    2.19E+001    1.04E+000    1.92E+000
   7.44E+001    1.22E+001    1.49E+000    3.70E+002    2.89E+000
   5.78E+000    8.16E+000    2.13E+002    1.83E+002    4.85E+000
   5.02E+001    4.74E+001    1.22E+000    5.42E+000    1.20E+000
   3.99E+001    7.82E+000    1.91E+002    1.13E+001    1.30E+000
   3.66E+001    5.17E+000    1.04E+000    9.92E+001    2.03E+000
   3.82E+001    1.77E+000    6.28E+001    1.88E+001    1.75E+000
   7.54E+001    3.37E+000    1.77E+000    7.28E+002    3.00E+000
   1.87E+001    5.69E+000    9.13E+002    1.21E+002    1.75E+000
   1.97E+001    1.18E+001    2.03E+002    4.37E+001    3.48E+000
   3.29E+000    2.25E+000    2.75E+002    2.03E+002    3.49E+000
   1.83E+000    1.15E+000    3.23E+002    3.01E+000    2.87E+000
   3.18E+001    4.55E+000    2.33E+000    1.46E+002    2.84E+000
   5.97E+001    1.28E+000    2.11E+001    2.83E+001    1.66E+000
   1.21E+000    8.51E+001    1.57E+000    1.29E+000    2.30E+000
   8.64E+001    1.09E+000    5.52E+002    4.62E+000    4.93E+000
   2.12E+001    6.36E+000    8.54E+002    2.07E+000    1.62E+000
   7.01E+001    3.64E+000    2.98E+001    1.36E+002    2.49E+000
   2.12E+001    2.71E+000    3.23E+002    6.39E+002    1.96E+000
   4.38E+001    8.45E+001    1.37E+000    4.13E+002    1.22E+000
   6.76E+001    2.13E+001    5.00E+000    1.32E+002    2.29E+000
   1.25E+000    3.42E+001    6.59E+002    2.88E+000    1.08E+000
   7.20E+000    3.34E+000    2.55E+002    4.99E+000    3.95E+000
