213        Isotope List   
     Name    A   Z 
     H   1   1   1
     NE  1   1   0
     H   2   2   1
     H   3   3   1
     HE  3   3   2
     HE  4   4   2
     C  12  12   6
     O  16  16   8
     HE  6   6   2
     LI  6   6   3
     BE  7   7   4
     LI  7   7   3
     B   8   8   5
     LI  8   8   3
     LI  9   9   3
     BE  9   9   4
     C   9   9   6
     BE 10  10   4
     B  10  10   5
     C  10  10   6
     N  11  11   7
     C  11  11   6
     BE 11  11   4
     B  11  11   5
     N  12  12   7
     B  12  12   5
     N  13  13   7
     B  13  13   5
     O  13  13   8
     C  13  13   6
     O  14  14   8
     F  14  14   9
     C  14  14   6
     N  14  14   7
     O  15  15   8
     N  15  15   7
     C  15  15   6
     N  16  16   7
     NE 16  16  10
     F  16  16   9
     NA 17  17  11
     F  17  17   9
     NE 17  17  10
     O  17  17   8
     N  17  17   7
     NA 18  18  11
     N  18  18   7
     O  18  18   8
     NE 18  18  10
     F  18  18   9
     NA 19  19  11
     NE 19  19  10
     F  19  19   9
     O  19  19   8
     MG 20  20  12
     NE 20  20  10
     F  20  20   9
     NA 20  20  11
     NA 21  21  11
     MG 21  21  12
     F  21  21   9
     NE 21  21  10
     MG 22  22  12
     AL 22  22  13
     NE 22  22  10
     NA 22  22  11
     F  22  22   9
     MG 23  23  12
     NA 23  23  11
     AL 23  23  13
     NE 23  23  10
     SI 24  24  14
     AL 24  24  13
     MG 24  24  12
     NA 24  24  11
     NA 25  25  11
     AL 25  25  13
     SI 25  25  14
     MG 25  25  12
     AL *6  26  13
     P  26  26  15
     MG 26  26  12
     SI 26  26  14
     NA 26  26  11
     AL 03  26  13
     AL 01  26  13
     AL 02  26  13
     AL -6  26  13
     SI 27  27  14
     S  27  27  16
     MG 27  27  12
     AL 27  27  13
     P  27  27  15
     S  28  28  16
     P  28  28  15
     SI 28  28  14
     AL 28  28  13
     P  29  29  15
     CL 29  29  17
     S  29  29  16
     SI 29  29  14
     AL 29  29  13
     CL 30  30  17
     S  30  30  16
     SI 30  30  14
     P  30  30  15
     AL 30  30  13
     CL 31  31  17
     SI 31  31  14
     P  31  31  15
     S  31  31  16
     CL 32  32  17
     AR 32  32  18
     S  32  32  16
     P  32  32  15
     P  33  33  15
     AR 33  33  18
     CL 33  33  17
     S  33  33  16
     S  34  34  16
     P  34  34  15
     AR 34  34  18
     K  34  34  19
     CL 34  34  17
     AR 35  35  18
     K  35  35  19
     P  35  35  15
     CL 35  35  17
     S  35  35  16
     S  36  36  16
     P  36  36  15
     CL 36  36  17
     CA 36  36  20
     K  36  36  19
     AR 36  36  18
     K  37  37  19
     CA 37  37  20
     CL 37  37  17
     AR 37  37  18
     S  37  37  16
     K  38  38  19
     CL 38  38  17
     CA 38  38  20
     AR 38  38  18
     CL 39  39  17
     K  39  39  19
     CA 39  39  20
     AR 39  39  18
     CA 40  40  20
     SC 40  40  21
     CL 40  40  17
     AR 40  40  18
     K  40  40  19
     K  41  41  19
     CA 41  41  20
     AR 41  41  18
     SC 41  41  21
